"segment_id","round","year","arm","school_size","lanes","road_length_km","crossing_present","prior_collisions_3yr","ave_speed_kmh","vehicles_km_millions","injury_collisions","child_collisions","minor_collisions","injuries_per_million_vkm"
"SZ001",0,2019,"Package","medium",4,1.98,0,8,45.6,7.48,5,2,18,0.668
"SZ001",1,2022,"Package","medium",4,1.98,0,8,41.2,7.3,8,0,8,1.096
"SZ002",0,2019,"Package","medium",4,0.79,0,10,45.8,2.68,15,5,20,5.597
"SZ002",1,2022,"Package","medium",4,0.79,0,10,42.8,2.75,13,2,16,4.727
"SZ003",0,2019,"Package","medium",3,1.02,0,4,44.7,2.5,10,6,16,4
"SZ003",1,2022,"Package","medium",3,1.02,0,4,44.5,2.97,7,4,15,2.357
"SZ004",0,2019,"Package","medium",3,0.78,1,5,46.2,2.47,9,4,15,3.644
"SZ004",1,2022,"Package","medium",3,0.78,1,5,40.8,2.31,4,3,11,1.732
"SZ005",0,2019,"No package","medium",2,1.92,0,2,44.4,3.59,4,3,3,1.114
"SZ005",1,2022,"No package","medium",2,1.92,0,2,45.6,3.26,6,1,8,1.84
"SZ006",0,2019,"Package","large",2,1.74,0,7,46.5,3.09,9,3,20,2.913
"SZ006",1,2022,"Package","large",2,1.74,0,7,42.2,3.44,8,2,9,2.326
"SZ007",0,2019,"Package","large",5,0.47,0,7,46.9,2.03,14,4,20,6.897
"SZ007",1,2022,"Package","large",5,0.47,0,7,43.5,2.21,10,7,17,4.525
"SZ008",0,2019,"Package","large",3,1.85,1,10,47.5,4.65,12,2,20,2.581
"SZ008",1,2022,"Package","large",3,1.85,1,10,44.5,4.69,6,1,10,1.279
"SZ009",0,2019,"No package","small",4,1.46,1,8,46.5,4.73,12,4,16,2.537
"SZ009",1,2022,"No package","small",4,1.46,1,8,46.4,6.89,10,3,21,1.451
"SZ010",0,2019,"No package","medium",3,0.63,1,9,45.5,1.63,9,4,11,5.521
"SZ010",1,2022,"No package","medium",3,0.63,1,9,45.4,1.98,14,11,10,7.071
"SZ011",0,2019,"No package","large",4,0.33,0,6,45.2,1.03,12,6,32,11.65
"SZ011",1,2022,"No package","large",4,0.33,0,6,46.4,1.3,11,4,24,8.462
"SZ012",0,2019,"No package","small",3,0.53,0,8,43.4,1.5,10,5,18,6.667
"SZ012",1,2022,"No package","small",3,0.53,0,8,44.6,1.46,9,3,11,6.164
"SZ013",0,2019,"Package","large",5,2.15,0,7,44.4,9.15,28,6,51,3.06
"SZ013",1,2022,"Package","large",5,2.15,0,7,42.9,10.49,13,6,22,1.239
"SZ014",0,2019,"No package","medium",4,0.61,0,10,46.4,2.24,9,4,11,4.018
