"segment_id","sector_id","corridor_type","year","round","treated","eligible_speed","cameras_installed","enforcement_intensity","baseline_speed_85th","ave_speed_kmh","speed_limit_kmh","lanes","road_length_km","lighting_quality","school_within_500m","prior_collisions_3yr","vehicles_km_millions","injury_collisions","fatal_collisions","minor_collisions","injuries_per_million_vkm"
"SEC01-001","SEC01","suburban arterial",2019,0,1,1,1,1.36,70.8,71.4,80,3,2.63,"adequate",0,16,8.13,10,0,40,1.23
"SEC01-001","SEC01","suburban arterial",2021,1,1,1,1,2.91,70.8,64.7,80,3,2.63,"adequate",0,16,9.62,9,0,17,0.936
"SEC01-002","SEC01","ring road",2019,0,1,1,1,3.01,76.7,78.5,80,2,0.66,"good",0,3,1.47,4,0,8,2.721
"SEC01-002","SEC01","ring road",2021,1,1,1,1,1.26,76.7,70.4,80,2,0.66,"good",0,3,1.29,2,0,6,1.55
"SEC01-003","SEC01","urban arterial",2019,0,1,0,0,0,69.7,68.5,80,6,2.33,"adequate",1,19,16.42,15,1,22,0.914
"SEC01-003","SEC01","urban arterial",2021,1,1,0,0,0,69.7,68.6,80,6,2.33,"adequate",1,19,17.91,24,1,40,1.34
"SEC01-004","SEC01","urban arterial",2019,0,1,1,1,2.05,72.6,71.7,80,4,1.3,"good",0,10,6.14,7,0,24,1.14
"SEC01-004","SEC01","urban arterial",2021,1,1,1,1,3.32,72.6,66.5,80,4,1.3,"good",0,10,5.84,5,0,15,0.856
"SEC01-005","SEC01","urban arterial",2019,0,1,0,0,0,67,65.1,80,5,3.38,"adequate",1,20,18.22,22,0,50,1.207
"SEC01-005","SEC01","urban arterial",2021,1,1,0,0,0,67,67.6,80,5,3.38,"adequate",1,20,21.72,32,3,50,1.473
"SEC01-006","SEC01","ring road",2019,0,1,1,1,2.39,80.9,82.2,80,5,0.84,"adequate",0,8,5.14,6,0,15,1.167
"SEC01-006","SEC01","ring road",2021,1,1,1,1,3.75,80.9,74,80,5,0.84,"adequate",0,8,5.18,8,1,13,1.544
"SEC01-007","SEC01","urban arterial",2019,0,1,1,1,3.71,78.7,77.7,80,2,2.19,"adequate",0,13,5.64,6,0,21,1.064
"SEC01-007","SEC01","urban arterial",2021,1,1,1,1,2.27,78.7,73.6,80,2,2.19,"adequate",0,13,4.98,6,0,16,1.205
"SEC01-008","SEC01","urban arterial",2019,0,1,0,0,0,68.6,68.6,80,4,2.67,"good",0,11,12.11,8,0,9,0.661
"SEC01-008","SEC01","urban arterial",2021,1,1,0,0,0,68.6,68.6,80,4,2.67,"good",0,11,12.75,7,0,17,0.549
"SEC01-009","SEC01","ring road",2019,0,1,1,1,2.94,78.1,78.4,80,4,1.25,"adequate",1,10,6.11,14,0,30,2.291
"SEC01-009","SEC01","ring road",2021,1,1,1,1,3.36,78.1,71.6,80,4,1.25,"adequate",1,10,5.94,9,0,14,1.515
"SEC01-010","SEC01","school corridor",2019,0,1,0,0,0,68.1,65.6,80,4,2.65,"adequate",0,10,12.23,11,1,22,0.899
"SEC01-010","SEC01","school corridor",2021,1,1,0,0,0,68.1,68.7,80,4,2.65,"adequate",0,10,13.64,3,0,23,0.22
