"","zone_identifier","facility_identifier","treatment_zone","promotion_zone","eligible","enrolled","enrolled_rp","efficiency_index","round","waste_management_costs","age_manager","age_deputy","educ_manager","educ_deputy","female_manager","foreign_owned","staff_size","advanced_filtration","water_treatment_system","facility_area","recycling_center_distance","recycling_compliance"
"1",26,5,1,1,1,1,1,55.9505424499512,0,15.1854553222656,24,23,0,6,0,0,4,1,0,1,124.819966250118,0
"2",26,5,1,1,1,1,1,55.9505424499512,1,19.5809020996094,25,24,0,6,0,0,4,1,0,1,124.819966250118,0
"3",26,11,1,1,1,1,0,46.0587310791016,0,13.0762567520142,30,26,4,0,0,0,6,1,0,2,124.819966250118,0
"4",26,11,1,1,1,1,0,46.0587310791016,1,2.39885449409485,31,27,4,0,0,0,6,1,0,2,124.819966250118,1
"5",26,13,1,1,1,1,0,54.0958251953125,1,0,59,57,0,0,0,0,6,1,0,4,124.819966250118,1
"6",26,13,1,1,1,1,0,54.0958251953125,0,15.2863531112671,58,56,0,0,0,0,6,1,0,4,124.819966250118,0
"7",26,16,1,1,1,1,1,56.9034004211426,1,20.0269088745117,36,25,3,0,0,0,7,1,0,2,124.819966250118,0
"8",26,16,1,1,1,1,1,56.9034004211426,0,11.3117609024048,35,24,3,0,0,0,7,1,0,2,124.819966250118,0
"9",26,21,1,1,1,1,1,46.9088096618652,0,11.2239122390747,37,35,0,0,0,0,7,1,0,2,124.819966250118,0
"10",26,21,1,1,1,1,1,46.9088096618652,1,16.6646862030029,39,36,0,0,0,0,7,1,0,2,124.819966250118,0
"11",26,22,1,1,1,1,1,48.1839256286621,0,8.87692451477051,34,41,0,2,1,0,9,1,0,1,124.819966250118,0
"12",26,22,1,1,1,1,1,48.1839256286621,1,0.11554642021656,35,41,0,2,1,0,9,1,0,1,124.819966250118,0
"13",26,23,1,1,1,1,0,49.6908798217773,1,0,31,30,0,6,0,0,7,0,0,1,124.819966250118,0
"14",26,23,1,1,1,1,0,49.6908798217773,0,12.6858167648315,30,29,0,6,0,0,7,0,0,1,124.819966250118,0
"15",26,25,1,1,1,1,1,57.1097373962402,1,17.2236976623535,58,57,3,0,0,0,9,0,0,4,124.819966250118,0
"16",26,25,1,1,1,1,1,57.1097373962402,0,12.6680889129639,57,56,3,0,0,0,9,0,0,4,124.819966250118,0
"17",26,27,1,1,1,1,1,49.6908798217773,0,10.5806131362915,24,28,2,6,0,0,7,1,0,2,124.819966250118,0
"18",26,27,1,1,1,1,1,49.6908798217773,1,1.28490090370178,25,29,2,6,0,0,7,1,0,2,124.819966250118,0
"19",26,28,1,1,1,1,1,52.6275100708008,0,7.23070859909058,40,36,0,2,0,0,9,1,0,1,124.819966250118,0
"20",26,28,1,1,1,1,1,52.6275100708008,1,6.41748237609863,40,37,0,2,0,0,9,1,0,1,124.819966250118,0
