"","X","neighborhood_identifier","business_identifier","treatment_neighborhood","eligible","intent_to_treat","enrolled_rp","efficiency_index","round","waste_management_costs","age_manager","age_deputy","educ_manager","educ_deputy","female_manager","foreign_owned","staff_size","advanced_filtration","water_treatment_system","business_area","recycling_center_distance","recycling_compliance"
"1",1,26,5,1,1,1,1,55.9505424499512,0,1518.54553222656,24,23,0,6,0,0,4,1,0,1,124.819966250118,0
"2",2,26,5,1,1,1,1,55.9505424499512,1,1958.09020996094,25,24,0,6,0,0,4,1,0,1,124.819966250118,0
"3",3,26,11,1,1,1,0,46.0587310791016,0,1307.62567520142,30,26,4,0,0,0,6,1,0,2,124.819966250118,0
"4",4,26,11,1,1,1,0,46.0587310791016,1,239.885449409485,31,27,4,0,0,0,6,1,0,2,124.819966250118,1
"5",5,26,13,1,1,1,0,54.0958251953125,1,0,59,57,0,0,0,0,6,1,0,4,124.819966250118,1
"6",6,26,13,1,1,1,0,54.0958251953125,0,1528.63531112671,58,56,0,0,0,0,6,1,0,4,124.819966250118,0
"7",7,26,16,1,1,1,1,56.9034004211426,1,2002.69088745117,36,25,3,0,0,0,7,1,0,2,124.819966250118,0
"8",8,26,16,1,1,1,1,56.9034004211426,0,1131.17609024048,35,24,3,0,0,0,7,1,0,2,124.819966250118,0
"9",9,26,21,1,1,1,1,46.9088096618652,0,1122.39122390747,37,35,0,0,0,0,7,1,0,2,124.819966250118,0
"10",10,26,21,1,1,1,1,46.9088096618652,1,1666.46862030029,39,36,0,0,0,0,7,1,0,2,124.819966250118,0
"11",11,26,22,1,1,1,1,48.1839256286621,0,887.692451477051,34,41,0,2,1,0,9,1,0,1,124.819966250118,0
"12",12,26,22,1,1,1,1,48.1839256286621,1,11.554642021656,35,41,0,2,1,0,9,1,0,1,124.819966250118,0
"13",13,26,23,1,1,1,0,49.6908798217773,1,0,31,30,0,6,0,0,7,0,0,1,124.819966250118,0
"14",14,26,23,1,1,1,0,49.6908798217773,0,1268.58167648315,30,29,0,6,0,0,7,0,0,1,124.819966250118,0
"15",15,26,25,1,1,1,1,57.1097373962402,1,1722.36976623535,58,57,3,0,0,0,9,0,0,4,124.819966250118,0
"16",16,26,25,1,1,1,1,57.1097373962402,0,1266.80889129639,57,56,3,0,0,0,9,0,0,4,124.819966250118,0
"17",17,26,27,1,1,1,1,49.6908798217773,0,1058.06131362915,24,28,2,6,0,0,7,1,0,2,124.819966250118,0
"18",18,26,27,1,1,1,1,49.6908798217773,1,128.490090370178,25,29,2,6,0,0,7,1,0,2,124.819966250118,0
